ID,SID,Gender,Vowel,Condition,Rating
25,f4,female,o,harmonic,-20
25,m2,male,a,harmonic,8
25,m8,male,i,harmonic,0
25,m2,male,o,harmonic,0
25,m8,male,o,harmonic,12
25,f8,female,i,harmonic,-27
25,f5,female,o,harmonic,2
25,m1,male,i,harmonic,-14
25,m1,male,o,harmonic,-6
25,m4,male,i,harmonic,-8
25,m2,male,i,harmonic,3
25,m8,male,a,harmonic,0
25,f6,female,i,harmonic,0
25,f8,female,a,harmonic,-17
25,m4,male,o,harmonic,-18
25,f1,female,i,harmonic,0
25,m5,male,i,harmonic,0
25,m1,male,a,harmonic,-16
25,f1,female,a,harmonic,-25
25,f4,female,i,harmonic,-16
25,f6,female,a,harmonic,-20
25,m5,male,o,harmonic,-14
26,f8,female,i,harmonic,-4
26,f4,female,i,harmonic,-48
26,f5,female,a,harmonic,7
26,m8,male,o,harmonic,-13
26,f6,female,i,harmonic,-5
26,f4,female,a,harmonic,-59
26,m1,male,i,harmonic,-53
26,f6,female,o,harmonic,17
26,f4,female,o,harmonic,-56
26,f8,female,o,harmonic,-25
26,m5,male,i,harmonic,-29
26,m2,male,a,harmonic,14
26,m1,male,a,harmonic,8
26,f8,female,a,harmonic,-50
26,m2,male,o,harmonic,25
26,f6,female,a,harmonic,-27
26,m1,male,o,harmonic,-77
26,f5,female,o,harmonic,-49
26,m8,male,a,harmonic,0
26,m8,male,i,harmonic,3
26,m2,male,i,harmonic,-4
26,f5,female,i,harmonic,2
26,m5,male,o,harmonic,-10
26,m4,male,a,harmonic,4
26,f1,female,o,harmonic,-68
26,m5,male,a,harmonic,-20
26,m4,male,o,harmonic,-21
26,f1,female,i,harmonic,-24
26,f1,female,a,harmonic,-10
26,m4,male,i,harmonic,-24
27,m5,male,i,harmonic,21
27,m5,male,a,harmonic,-68
27,m4,male,o,harmonic,-31
27,f8,female,a,harmonic,-34
27,f5,female,i,harmonic,1
27,m2,male,a,harmonic,-41
27,m1,male,a,harmonic,-42
27,m1,male,i,harmonic,-61
27,m8,male,a,harmonic,-42
27,f1,female,i,harmonic,-60
27,f6,female,i,harmonic,2
27,m8,male,o,harmonic,20
27,m2,male,i,harmonic,-58
27,f8,female,i,harmonic,-3
27,m8,male,i,harmonic,9
27,f8,female,o,harmonic,-43
27,f6,female,a,harmonic,-25
27,f4,female,i,harmonic,-30
27,f5,female,o,harmonic,-19
27,f1,female,a,harmonic,21
27,f6,female,o,harmonic,-21
27,f1,female,o,harmonic,-20
27,f5,female,a,harmonic,-19
27,m4,male,i,harmonic,41
27,f4,female,a,harmonic,9
27,m1,male,o,harmonic,-20
27,f4,female,o,harmonic,-22
27,m5,male,o,harmonic,32
27,m2,male,o,harmonic,-53
27,m4,male,a,harmonic,-34
28,m5,male,a,harmonic,-40
28,f1,female,o,harmonic,-53
28,m8,male,i,harmonic,-34
28,f6,female,a,harmonic,-62
28,f5,female,i,harmonic,37
28,f4,female,i,harmonic,-33
28,m5,male,i,harmonic,-66
28,m8,male,a,harmonic,-33
28,f5,female,o,harmonic,-34
28,m4,male,a,harmonic,-53
28,f1,female,a,harmonic,-69
28,m2,male,i,harmonic,-30
28,f8,female,i,harmonic,-32
28,f8,female,a,harmonic,-1
28,m2,male,a,harmonic,-73
28,m2,male,o,harmonic,-77
28,m5,male,o,harmonic,-27
28,f8,female,o,harmonic,0
28,f4,female,o,harmonic,-25
28,m1,male,o,harmonic,-23
